ClaimID,CustomerID,PolicyID,ClaimAmount,ClaimDate,ClaimStatus,HospitalOrGarage
CL000001,C04690,P0167,479715,2026-04-29,Approved,Aster Hospital
CL000002,C02224,P0217,190019,2026-04-24,Rejected,NA
CL000003,C01202,P0439,468521,2026-01-29,Approved,Aster Hospital
CL000004,C03362,P0059,27069,2026-03-08,Rejected,NA
CL000005,C00764,P0495,913833,2026-03-18,Approved,Aster Hospital
CL000006,C00813,P0200,732834,2026-03-12,Rejected,Apollo Hospital
CL000007,C01611,P0236,375713,2026-04-29,Rejected,NA
CL000008,C03182,P0268,760194,2026-05-03,Rejected,Apollo Hospital
CL000009,C03457,P0440,438105,2026-03-06,Submitted,TVS Garage
CL000010,C01476,P0320,95377,2026-03-13,Rejected,Apollo Hospital
CL000011,C03878,P0168,714411,2026-01-26,Submitted,XYZ Garage
CL000012,C03616,P0011,182493,2026-05-07,Submitted,XYZ Garage
CL000013,C04626,P0097,362623,2026-03-18,Submitted,Aster Hospital
CL000014,C00338,P0452,354789,2026-03-15,Submitted,Aster Hospital
CL000015,C03648,P0158,560118,2026-03-10,Approved,ABC Motors
CL000016,C01379,P0113,564438,2026-03-30,Rejected,TVS Garage
CL000017,C01609,P0257,816207,2026-05-27,Rejected,ABC Motors
CL000018,C04672,P0390,23607,2026-02-12,Rejected,TVS Garage
CL000019,C04392,P0190,473686,2026-04-07,Approved,ABC Motors
CL000020,C04583,P0291,87953,2026-03-13,Submitted,ABC Motors
CL000021,C01417,P0102,1082538,2026-04-22,Submitted,NA
CL000022,C02181,P0033,26350,2026-01-01,Submitted,TVS Garage
CL000023,C01861,P0257,708193,2026-03-22,Rejected,NA
CL000024,C02195,P0090,192617,2026-04-11,Submitted,TVS Garage
CL000025,C01921,P0165,34561,2026-01-09,Submitted,Aster Hospital
CL000026,C03908,P0274,163849,2026-03-09,Submitted,ABC Motors
CL000027,C00409,P0157,1025938,2026-04-16,Submitted,Apollo Hospital
CL000028,C02406,P0114,956484,2026-05-10,Submitted,TVS Garage
CL000029,C02260,P0109,959474,2026-01-14,Rejected,NA
CL000030,C03074,P0043,1138143,2026-04-26,Submitted,TVS Garage
CL000031,C03405,P0132,869417,2026-04-30,Approved,NA
CL000032,C03177,P0387,491398,2026-04-14,Submitted,Apollo Hospital
CL000033,C03013,P0338,623717,2026-01-23,Submitted,TVS Garage
CL000034,C04240,P0383,1199005,2026-01-09,Approved,Aster Hospital
CL000035,C03710,P0244,351092,2026-05-28,Approved,Apollo Hospital
CL000036,C04236,P0158,702542,2026-01-11,Submitted,ABC Motors
CL000037,C04605,P0198,43852,2026-03-16,Approved,TVS Garage
CL000038,C03375,P0386,899429,2026-01-09,Rejected,Apollo Hospital
CL000039,C01867,P0362,521048,2026-04-24,Rejected,ABC Motors
CL000040,C04851,P0261,516159,2026-02-24,Approved,ABC Motors
CL000041,C03958,P0331,923813,2026-02-24,Approved,ABC Motors
CL000042,C03859,P0359,253167,2026-05-21,Approved,Aster Hospital
CL000043,C01503,P0216,861487,2026-05-02,Submitted,NA
CL000044,C02304,P0398,171461,2026-01-05,Submitted,ABC Motors
CL000045,C04163,P0332,1064395,2026-04-21,Rejected,Aster Hospital
CL000046,C04116,P0390,691991,2026-01-12,Rejected,ABC Motors
CL000047,C01682,P0294,870709,2026-02-22,Rejected,NA
CL000048,C01386,P0357,1081111,2026-05-09,Rejected,ABC Motors
CL000049,C00198,P0380,661419,2026-03-24,Approved,NA
CL000050,C02480,P0293,290512,2026-02-05,Approved,NA
CL000051,C03731,P0031,551212,2026-05-24,Rejected,NA
CL000052,C00637,P0280,842949,2026-04-24,Approved,ABC Motors
CL000053,C03202,P0106,392787,2026-01-16,Approved,ABC Motors
CL000054,C01335,P0296,32100,2026-05-02,Approved,XYZ Garage
CL000055,C04763,P0091,1068387,2026-01-21,Submitted,XYZ Garage
CL000056,C04396,P0477,335995,2026-05-06,Approved,XYZ Garage
CL000057,C01261,P0215,678082,2026-02-22,Approved,ABC Motors
CL000058,C00741,P0235,13741,2026-05-17,Rejected,TVS Garage
CL000059,C02150,P0088,850818,2026-05-31,Rejected,Aster Hospital
CL000060,C00248,P0106,1124155,2026-03-02,Approved,NA
CL000061,C01945,P0491,686422,2026-03-19,Submitted,NA
CL000062,C04928,P0355,41428,2026-01-29,Rejected,TVS Garage
CL000063,C04634,P0313,878756,2026-04-26,Approved,ABC Motors
CL000064,C04906,P0092,134188,2026-03-29,Submitted,ABC Motors
CL000065,C01556,P0002,772467,2026-03-08,Submitted,XYZ Garage
CL000066,C01331,P0491,570490,2026-03-01,Submitted,XYZ Garage
CL000067,C02277,P0338,515552,2026-01-14,Submitted,Aster Hospital
CL000068,C00618,P0239,1130897,2026-01-29,Rejected,ABC Motors
CL000069,C04113,P0441,12702,2026-04-09,Submitted,ABC Motors
CL000070,C02221,P0340,466135,2026-01-30,Rejected,NA
CL000071,C04323,P0297,109643,2026-01-27,Rejected,NA
CL000072,C02070,P0452,298621,2026-05-11,Approved,TVS Garage
CL000073,C00013,P0103,942135,2026-01-12,Approved,ABC Motors
CL000074,C00446,P0480,328314,2026-04-16,Submitted,TVS Garage
CL000075,C00349,P0229,101504,2026-02-22,Approved,XYZ Garage
CL000076,C04419,P0017,1086446,2026-01-17,Rejected,Aster Hospital
CL000077,C03295,P0077,1109747,2026-02-12,Submitted,ABC Motors
CL000078,C04508,P0090,621720,2026-03-18,Submitted,TVS Garage
CL000079,C00248,P0339,41350,2026-04-28,Approved,XYZ Garage
CL000080,C04159,P0338,711680,2026-05-25,Approved,NA
CL000081,C03826,P0324,578996,2026-01-23,Approved,ABC Motors
CL000082,C04423,P0002,888058,2026-01-29,Submitted,XYZ Garage
CL000083,C03153,P0440,232061,2026-02-13,Rejected,ABC Motors
CL000084,C03211,P0068,33623,2026-05-23,Approved,XYZ Garage
CL000085,C01094,P0431,36112,2026-03-03,Submitted,Apollo Hospital
CL000086,C03738,P0030,368484,2026-04-18,Approved,NA
CL000087,C02168,P0144,565812,2026-02-25,Rejected,XYZ Garage
CL000088,C03126,P0323,386625,2026-03-06,Rejected,XYZ Garage
CL000089,C03970,P0461,13309,2026-01-21,Approved,Apollo Hospital
CL000090,C02419,P0415,300062,2026-03-18,Approved,NA
CL000091,C03064,P0111,856264,2026-01-05,Submitted,Apollo Hospital
CL000092,C01280,P0490,468306,2026-04-28,Rejected,Aster Hospital
CL000093,C00074,P0094,1157201,2026-03-10,Submitted,ABC Motors
CL000094,C03319,P0422,124309,2026-03-05,Submitted,ABC Motors
CL000095,C03678,P0001,277528,2026-03-17,Approved,ABC Motors
CL000096,C02608,P0069,647633,2026-01-11,Rejected,TVS Garage
CL000097,C01822,P0358,892109,2026-03-07,Submitted,Apollo Hospital
CL000098,C04365,P0418,922940,2026-04-05,Rejected,NA
CL000099,C00134,P0498,510758,2026-04-13,Submitted,TVS Garage
CL000100,C04179,P0280,309009,2026-01-31,Rejected,NA
CL000101,C04670,P0232,1046247,2026-03-05,Submitted,TVS Garage
CL000102,C02265,P0481,839998,2026-04-16,Approved,Aster Hospital
CL000103,C01042,P0119,898345,2026-01-10,Rejected,ABC Motors
CL000104,C03798,P0310,1110266,2026-04-15,Rejected,XYZ Garage
CL000105,C00604,P0067,782887,2026-05-29,Rejected,XYZ Garage
CL000106,C03970,P0496,366281,2026-02-04,Submitted,Apollo Hospital
CL000107,C02102,P0096,1100819,2026-04-10,Approved,Aster Hospital
CL000108,C03365,P0289,271135,2026-01-03,Rejected,ABC Motors
CL000109,C03262,P0038,952488,2026-05-26,Submitted,ABC Motors
CL000110,C01450,P0097,723998,2026-04-07,Submitted,XYZ Garage
CL000111,C04922,P0337,324632,2026-05-31,Submitted,XYZ Garage
CL000112,C04491,P0127,452592,2026-03-24,Submitted,NA
CL000113,C03912,P0443,839477,2026-05-23,Submitted,ABC Motors
CL000114,C04059,P0231,393777,2026-04-06,Rejected,Apollo Hospital
CL000115,C02467,P0063,519120,2026-03-07,Submitted,Aster Hospital
CL000116,C00401,P0268,528368,2026-03-05,Approved,TVS Garage
CL000117,C01640,P0309,1108045,2026-02-18,Submitted,Apollo Hospital
CL000118,C01268,P0065,845000,2026-01-03,Approved,Apollo Hospital
CL000119,C00545,P0149,624883,2026-01-13,Submitted,NA
CL000120,C03821,P0477,837545,2026-02-07,Submitted,NA
CL000121,C00552,P0490,640546,2026-02-28,Approved,TVS Garage
CL000122,C04621,P0037,457606,2026-03-18,Approved,Apollo Hospital
CL000123,C01673,P0265,1040571,2026-03-24,Approved,NA
CL000124,C04453,P0241,278652,2026-01-09,Submitted,XYZ Garage
CL000125,C04425,P0223,687240,2026-04-09,Rejected,Aster Hospital
CL000126,C01110,P0152,24816,2026-03-26,Submitted,NA
